mix,time_point,carbon,bio_rep,strain,count,total,treatment
C,20,YTSS,1A,E37,0,6600000,none
C,20,YTSS,1A,ISM,1000000,6600000,none
C,20,YTSS,1A,EE36,0,6600000,none
C,20,YTSS,1B,Y4I,600000,600000,none
C,20,YTSS,1B,SE45,0,600000,none
C,20,YTSS,1B,E37,0,600000,none
C,20,YTSS,1B,ISM,0,600000,none
C,20,YTSS,1B,EE36,0,600000,none
C,20,YTSS,1C,Y4I,600000,1200000,none
C,20,YTSS,1C,SE45,0,1200000,none
C,20,YTSS,1C,E37,0,1200000,none
C,20,YTSS,1C,ISM,600000,1200000,none
C,20,YTSS,1C,EE36,0,1200000,none
C,20,YTSS,2A,Y4I,7300000,8200000,none
C,20,YTSS,2A,SE45,0,8200000,none
C,20,YTSS,2A,E37,0,8200000,none
C,20,YTSS,2A,ISM,600000,8200000,none
C,20,YTSS,2A,EE36,300000,8200000,none
C,20,YTSS,2B,Y4I,3700000,4100000,none
C,20,YTSS,2B,SE45,0,4100000,none
C,20,YTSS,2B,E37,0,4100000,none
C,20,YTSS,2B,ISM,200000,4100000,none
C,20,YTSS,2B,EE36,200000,4100000,none
C,20,YTSS,2C,Y4I,1200000,1500000,none
C,20,YTSS,2C,SE45,0,1500000,none
C,20,YTSS,2C,E37,100000,1500000,none
C,20,YTSS,2C,ISM,200000,1500000,none
C,20,YTSS,2C,EE36,0,1500000,none
C,20,YTSS,3A,Y4I,2100000,2200000,none
C,20,YTSS,3A,SE45,0,2200000,none
C,20,YTSS,3A,E37,0,2200000,none
C,20,YTSS,3A,ISM,100000,2200000,none
C,20,YTSS,3A,EE36,0,2200000,none
C,20,YTSS,3B,Y4I,3000000,3300000,none
C,20,YTSS,3B,SE45,0,3300000,none
C,20,YTSS,3B,E37,0,3300000,none
C,20,YTSS,3B,ISM,300000,3300000,none
C,20,YTSS,3B,EE36,0,3300000,none
C,20,YTSS,3C,Y4I,1400000,1700000,none
C,20,YTSS,3C,SE45,0,1700000,none
C,20,YTSS,3C,E37,0,1700000,none
C,20,YTSS,3C,ISM,300000,1700000,none
C,20,YTSS,3C,EE36,0,1700000,none
D,20,YTSS,1A,Y4I,13800000,19400000,none
D,20,YTSS,1A,SE45,1300000,19400000,none
D,20,YTSS,1A,E37,0,19400000,none
D,20,YTSS,1A,ISM,2200000,19400000,none
D,20,YTSS,1A,EE36,2100000,19400000,none
D,20,YTSS,1B,Y4I,9500000,11400000,none
D,20,YTSS,1B,SE45,0,11400000,none
D,20,YTSS,1B,E37,0,11400000,none
D,20,YTSS,1B,ISM,1200000,11400000,none
D,20,YTSS,1B,EE36,700000,11400000,none
D,20,YTSS,1C,Y4I,7300000,10200000,none
D,20,YTSS,1C,SE45,800000,10200000,none
D,20,YTSS,1C,E37,0,10200000,none
D,20,YTSS,1C,ISM,800000,10200000,none
D,20,YTSS,1C,EE36,1300000,10200000,none
D,20,YTSS,2A,Y4I,35000000,41000000,none
D,20,YTSS,2A,SE45,2000000,41000000,none
D,20,YTSS,2A,E37,0,41000000,none
D,20,YTSS,2A,ISM,0,41000000,none
D,20,YTSS,2A,EE36,4000000,41000000,none
D,20,YTSS,2B,Y4I,40000000,41000000,none
D,20,YTSS,2B,SE45,0,41000000,none
D,20,YTSS,2B,E37,0,41000000,none
D,20,YTSS,2B,ISM,0,41000000,none
D,20,YTSS,2B,EE36,1000000,41000000,none
D,20,YTSS,2C,Y4I,35000000,37000000,none
D,20,YTSS,2C,SE45,0,37000000,none
D,20,YTSS,2C,E37,0,37000000,none
D,20,YTSS,2C,ISM,1000000,37000000,none
D,20,YTSS,2C,EE36,1000000,37000000,none
D,20,YTSS,3A,Y4I,33000000,34000000,none
D,20,YTSS,3A,SE45,0,34000000,none
D,20,YTSS,3A,E37,0,34000000,none
D,20,YTSS,3A,ISM,1000000,34000000,none
D,20,YTSS,3A,EE36,0,34000000,none
D,20,YTSS,3B,Y4I,21000000,23000000,none
D,20,YTSS,3B,SE45,0,23000000,none
D,20,YTSS,3B,E37,0,23000000,none
D,20,YTSS,3B,ISM,2000000,23000000,none
D,20,YTSS,3B,EE36,0,23000000,none
D,20,YTSS,3C,Y4I,44000000,49000000,none
D,20,YTSS,3C,SE45,0,49000000,none
D,20,YTSS,3C,E37,0,49000000,none
D,20,YTSS,3C,ISM,4000000,49000000,none
D,20,YTSS,3C,EE36,1000000,49000000,none
E,20,YTSS,1A,Y4I,23000000,26000000,none
E,20,YTSS,1A,SE45,0,26000000,none
E,20,YTSS,1A,E37,0,26000000,none
E,20,YTSS,1A,ISM,1000000,26000000,none
E,20,YTSS,1A,EE36,2000000,26000000,none
E,20,YTSS,1B,Y4I,36000000,36000000,none
E,20,YTSS,1B,SE45,0,36000000,none
E,20,YTSS,1B,E37,0,36000000,none
E,20,YTSS,1B,ISM,0,36000000,none
E,20,YTSS,1B,EE36,0,36000000,none
E,20,YTSS,1C,Y4I,20000000,26000000,none
E,20,YTSS,1C,SE45,0,26000000,none
E,20,YTSS,1C,E37,0,26000000,none
E,20,YTSS,1C,ISM,6000000,26000000,none
E,20,YTSS,1C,EE36,0,26000000,none
E,20,YTSS,2A,Y4I,38000000,39000000,none
E,20,YTSS,2A,SE45,0,39000000,none
E,20,YTSS,2A,E37,0,39000000,none
E,20,YTSS,2A,ISM,1000000,39000000,none
E,20,YTSS,2A,EE36,0,39000000,none
E,20,YTSS,2B,Y4I,28000000,33000000,none
E,20,YTSS,2B,SE45,0,33000000,none
E,20,YTSS,2B,E37,0,33000000,none
E,20,YTSS,2B,ISM,0,33000000,none
E,20,YTSS,2B,EE36,5000000,33000000,none
E,20,YTSS,2C,Y4I,26000000,26000000,none
E,20,YTSS,2C,SE45,0,26000000,none
E,20,YTSS,2C,E37,0,26000000,none
E,20,YTSS,2C,ISM,0,26000000,none
E,20,YTSS,2C,EE36,0,26000000,none
E,20,YTSS,3A,Y4I,30000000,33000000,none
E,20,YTSS,3A,SE45,0,33000000,none
E,20,YTSS,3A,E37,0,33000000,none
E,20,YTSS,3A,ISM,3000000,33000000,none
E,20,YTSS,3A,EE36,0,33000000,none
E,20,YTSS,3B,Y4I,5800000,6400000,none
E,20,YTSS,3B,SE45,0,6400000,none
E,20,YTSS,3B,E37,0,6400000,none
E,20,YTSS,3B,ISM,400000,6400000,none
E,20,YTSS,3B,EE36,200000,6400000,none
E,20,YTSS,3C,Y4I,33000000,41000000,none
E,20,YTSS,3C,SE45,0,41000000,none
E,20,YTSS,3C,E37,0,41000000,none
E,20,YTSS,3C,ISM,8000000,41000000,none
E,20,YTSS,3C,EE36,0,41000000,none
A,44,YTSS,1A,Y4I,7300000,10200000,none
A,44,YTSS,1A,SE45,400000,10200000,none
A,44,YTSS,1A,E37,0,10200000,none
A,44,YTSS,1A,ISM,1100000,10200000,none
A,44,YTSS,1A,EE36,1400000,10200000,none
A,44,YTSS,1B,Y4I,4100000,5700000,none
A,44,YTSS,1B,SE45,100000,5700000,none
A,44,YTSS,1B,E37,0,5700000,none
A,44,YTSS,1B,ISM,800000,5700000,none
A,44,YTSS,1B,EE36,700000,5700000,none
A,44,YTSS,1C,Y4I,6700000,7600000,none
A,44,YTSS,1C,SE45,100000,7600000,none
A,44,YTSS,1C,E37,0,7600000,none
A,44,YTSS,1C,ISM,500000,7600000,none
A,44,YTSS,1C,EE36,300000,7600000,none
A,44,YTSS,2A,Y4I,,,none
A,44,YTSS,2A,SE45,,,none
A,44,YTSS,2A,E37,,,none
A,44,YTSS,2A,ISM,,,none
A,44,YTSS,2A,EE36,,,none
A,44,YTSS,2B,Y4I,2270000,3630000,none
A,44,YTSS,2B,SE45,260000,3630000,none
A,44,YTSS,2B,E37,0,3630000,none
A,44,YTSS,2B,ISM,210000,3630000,none
A,44,YTSS,2B,EE36,890000,3630000,none
A,44,YTSS,2C,Y4I,2000000,3100000,none
A,44,YTSS,2C,SE45,100000,3100000,none
A,44,YTSS,2C,E37,0,3100000,none
A,44,YTSS,2C,ISM,700000,3100000,none
A,44,YTSS,2C,EE36,300000,3100000,none
A,44,YTSS,3A,Y4I,3100000,4200000,none
A,44,YTSS,3A,SE45,600000,4200000,none
A,44,YTSS,3A,E37,0,4200000,none
A,44,YTSS,3A,ISM,500000,4200000,none
A,44,YTSS,3A,EE36,0,4200000,none
A,44,YTSS,3B,Y4I,1690000,2980000,none
A,44,YTSS,3B,SE45,120000,2980000,none
A,44,YTSS,3B,E37,10000,2980000,none
A,44,YTSS,3B,ISM,610000,2980000,none
A,44,YTSS,3B,EE36,550000,2980000,none
A,44,YTSS,3C,Y4I,1800000,2940000,none
A,44,YTSS,3C,SE45,70000,2940000,none
A,44,YTSS,3C,E37,0,2940000,none
A,44,YTSS,3C,ISM,490000,2940000,none
A,44,YTSS,3C,EE36,580000,2940000,none
B,44,YTSS,1A,Y4I,480000,850000,none
B,44,YTSS,1A,SE45,10000,850000,none
B,44,YTSS,1A,E37,10000,850000,none
B,44,YTSS,1A,ISM,80000,850000,none
B,44,YTSS,1A,EE36,270000,850000,none
B,44,YTSS,1B,Y4I,450000,940000,none
B,44,YTSS,1B,SE45,0,940000,none
B,44,YTSS,1B,E37,0,940000,none
B,44,YTSS,1B,ISM,170000,940000,none
B,44,YTSS,1B,EE36,320000,940000,none
B,44,YTSS,1C,Y4I,980000,1590000,none
B,44,YTSS,1C,SE45,50000,1590000,none
B,44,YTSS,1C,E37,0,1590000,none
B,44,YTSS,1C,ISM,310000,1590000,none
B,44,YTSS,1C,EE36,250000,1590000,none
B,44,YTSS,2A,Y4I,1770000,3260000,none
B,44,YTSS,2A,SE45,350000,3260000,none
B,44,YTSS,2A,E37,0,3260000,none
B,44,YTSS,2A,ISM,170000,3260000,none
B,44,YTSS,2A,EE36,970000,3260000,none
B,44,YTSS,2B,Y4I,2120000,4240000,none
B,44,YTSS,2B,SE45,340000,4240000,none
B,44,YTSS,2B,E37,10000,4240000,none
B,44,YTSS,2B,ISM,370000,4240000,none
B,44,YTSS,2B,EE36,1400000,4240000,none
B,44,YTSS,2C,Y4I,1150000,2010000,none
B,44,YTSS,2C,SE45,110000,2010000,none
B,44,YTSS,2C,E37,0,2010000,none
B,44,YTSS,2C,ISM,120000,2010000,none
B,44,YTSS,2C,EE36,630000,2010000,none
B,44,YTSS,3A,Y4I,6900000,7700000,none
B,44,YTSS,3A,SE45,300000,7700000,none
B,44,YTSS,3A,E37,0,7700000,none
B,44,YTSS,3A,ISM,300000,7700000,none
B,44,YTSS,3A,EE36,200000,7700000,none
B,44,YTSS,3B,Y4I,1080000,2080000,none
B,44,YTSS,3B,SE45,50000,2080000,none
B,44,YTSS,3B,E37,0,2080000,none
B,44,YTSS,3B,ISM,250000,2080000,none
B,44,YTSS,3B,EE36,700000,2080000,none
B,44,YTSS,3C,Y4I,1880000,2920000,none
B,44,YTSS,3C,SE45,110000,2920000,none
B,44,YTSS,3C,E37,10000,2920000,none
B,44,YTSS,3C,ISM,390000,2920000,none
B,44,YTSS,3C,EE36,530000,2920000,none
C,44,YTSS,1A,Y4I,11900000,13100000,none
C,44,YTSS,1A,SE45,400000,13100000,none
C,44,YTSS,1A,E37,0,13100000,none
C,44,YTSS,1A,ISM,200000,13100000,none
C,44,YTSS,1A,EE36,600000,13100000,none
C,44,YTSS,1B,Y4I,2100000,2700000,none
C,44,YTSS,1B,SE45,200000,2700000,none
C,44,YTSS,1B,E37,0,2700000,none
C,44,YTSS,1B,ISM,100000,2700000,none
C,44,YTSS,1B,EE36,300000,2700000,none
C,44,YTSS,1C,Y4I,3400000,3900000,none
C,44,YTSS,1C,SE45,0,3900000,none
C,44,YTSS,1C,E37,0,3900000,none
C,44,YTSS,1C,ISM,400000,3900000,none
C,44,YTSS,1C,EE36,100000,3900000,none
C,44,YTSS,2A,Y4I,4100000,4700000,none
C,44,YTSS,2A,SE45,0,4700000,none
C,44,YTSS,2A,E37,0,4700000,none
C,44,YTSS,2A,ISM,300000,4700000,none
C,44,YTSS,2A,EE36,300000,4700000,none
C,44,YTSS,2B,Y4I,4900000,5700000,none
C,44,YTSS,2B,SE45,100000,5700000,none
C,44,YTSS,2B,E37,0,5700000,none
C,44,YTSS,2B,ISM,500000,5700000,none
C,44,YTSS,2B,EE36,200000,5700000,none
C,44,YTSS,2C,Y4I,3200000,3800000,none
C,44,YTSS,2C,SE45,400000,3800000,none
C,44,YTSS,2C,E37,0,3800000,none
C,44,YTSS,2C,ISM,100000,3800000,none
C,44,YTSS,2C,EE36,100000,3800000,none
C,44,YTSS,3A,Y4I,12400000,14700000,none
C,44,YTSS,3A,SE45,900000,14700000,none
C,44,YTSS,3A,E37,0,14700000,none
C,44,YTSS,3A,ISM,800000,14700000,none
C,44,YTSS,3A,EE36,600000,14700000,none
C,44,YTSS,3B,Y4I,9100000,10300000,none
C,44,YTSS,3B,SE45,0,10300000,none
C,44,YTSS,3B,E37,0,10300000,none
C,44,YTSS,3B,ISM,600000,10300000,none
C,44,YTSS,3B,EE36,600000,10300000,none
C,44,YTSS,3C,Y4I,9200000,10900000,none
C,44,YTSS,3C,SE45,800000,10900000,none
C,44,YTSS,3C,E37,0,10900000,none
C,44,YTSS,3C,ISM,300000,10900000,none
C,44,YTSS,3C,EE36,600000,10900000,none
D,44,YTSS,1A,Y4I,630000,1310000,none
D,44,YTSS,1A,SE45,10000,1310000,none
D,44,YTSS,1A,E37,0,1310000,none
D,44,YTSS,1A,ISM,270000,1310000,none
D,44,YTSS,1A,EE36,400000,1310000,none
D,44,YTSS,1B,Y4I,620000,850000,none
D,44,YTSS,1B,SE45,0,850000,none
D,44,YTSS,1B,E37,0,850000,none
D,44,YTSS,1B,ISM,70000,850000,none
D,44,YTSS,1B,EE36,160000,850000,none
D,44,YTSS,1C,Y4I,570000,1230000,none
D,44,YTSS,1C,SE45,50000,1230000,none
D,44,YTSS,1C,E37,0,1230000,none
D,44,YTSS,1C,ISM,250000,1230000,none
D,44,YTSS,1C,EE36,360000,1230000,none
D,44,YTSS,2A,Y4I,1190000,1720000,none
D,44,YTSS,2A,SE45,40000,1720000,none
D,44,YTSS,2A,E37,0,1720000,none
D,44,YTSS,2A,ISM,100000,1720000,none
D,44,YTSS,2A,EE36,390000,1720000,none
D,44,YTSS,2B,Y4I,900000,1610000,none
D,44,YTSS,2B,SE45,60000,1610000,none
D,44,YTSS,2B,E37,0,1610000,none
D,44,YTSS,2B,ISM,100000,1610000,none
D,44,YTSS,2B,EE36,550000,1610000,none
D,44,YTSS,2C,Y4I,870000,1290000,none
D,44,YTSS,2C,SE45,20000,1290000,none
D,44,YTSS,2C,E37,0,1290000,none
D,44,YTSS,2C,ISM,140000,1290000,none
D,44,YTSS,2C,EE36,260000,1290000,none
D,44,YTSS,3A,Y4I,330000,570000,none
D,44,YTSS,3A,SE45,30000,570000,none
D,44,YTSS,3A,E37,0,570000,none
D,44,YTSS,3A,ISM,110000,570000,none
D,44,YTSS,3A,EE36,100000,570000,none
D,44,YTSS,3B,Y4I,450000,1160000,none
D,44,YTSS,3B,SE45,120000,1160000,none
D,44,YTSS,3B,E37,0,1160000,none
D,44,YTSS,3B,ISM,290000,1160000,none
D,44,YTSS,3B,EE36,300000,1160000,none
D,44,YTSS,3C,Y4I,640000,1270000,none
D,44,YTSS,3C,SE45,60000,1270000,none
D,44,YTSS,3C,E37,0,1270000,none
D,44,YTSS,3C,ISM,180000,1270000,none
D,44,YTSS,3C,EE36,390000,1270000,none
E,44,YTSS,1A,Y4I,230000,370000,none
E,44,YTSS,1A,SE45,0,370000,none
E,44,YTSS,1A,E37,0,370000,none
E,44,YTSS,1A,ISM,110000,370000,none
E,44,YTSS,1A,EE36,30000,370000,none
E,44,YTSS,1B,Y4I,150000,200000,none
E,44,YTSS,1B,SE45,0,200000,none
E,44,YTSS,1B,E37,0,200000,none
E,44,YTSS,1B,ISM,50000,200000,none
E,44,YTSS,1B,EE36,0,200000,none
E,44,YTSS,1C,Y4I,4800000,5600000,none
E,44,YTSS,1C,SE45,200000,5600000,none
E,44,YTSS,1C,E37,0,5600000,none
E,44,YTSS,1C,ISM,600000,5600000,none
E,44,YTSS,1C,EE36,0,5600000,none
E,44,YTSS,2A,Y4I,3800000,4500000,none
E,44,YTSS,2A,SE45,200000,4500000,none
E,44,YTSS,2A,E37,100000,4500000,none
E,44,YTSS,2A,ISM,300000,4500000,none
E,44,YTSS,2A,EE36,100000,4500000,none
E,44,YTSS,2B,Y4I,1290000,1810000,none
E,44,YTSS,2B,SE45,100000,1810000,none
E,44,YTSS,2B,E37,0,1810000,none
E,44,YTSS,2B,ISM,110000,1810000,none
E,44,YTSS,2B,EE36,310000,1810000,none
E,44,YTSS,2C,Y4I,2410000,2780000,none
E,44,YTSS,2C,SE45,30000,2780000,none
E,44,YTSS,2C,E37,0,2780000,none
E,44,YTSS,2C,ISM,150000,2780000,none
E,44,YTSS,2C,EE36,190000,2780000,none
E,44,YTSS,3A,Y4I,920000,1000000,none
E,44,YTSS,3A,SE45,0,1000000,none
E,44,YTSS,3A,E37,0,1000000,none
E,44,YTSS,3A,ISM,80000,1000000,none
E,44,YTSS,3A,EE36,0,1000000,none
E,44,YTSS,3B,Y4I,7800000,12200000,none
E,44,YTSS,3B,SE45,600000,12200000,none
E,44,YTSS,3B,E37,0,12200000,none
E,44,YTSS,3B,ISM,1600000,12200000,none
E,44,YTSS,3B,EE36,2200000,12200000,none
E,44,YTSS,3C,Y4I,217000000,269000000,none
E,44,YTSS,3C,SE45,10000000,269000000,none
E,44,YTSS,3C,E37,2000000,269000000,none
E,44,YTSS,3C,ISM,30000000,269000000,none
E,44,YTSS,3C,EE36,10000000,269000000,none
A,68,YTSS,1A,Y4I,14000000,22000000,none
A,68,YTSS,1A,SE45,1000000,22000000,none
A,68,YTSS,1A,E37,4000000,22000000,none
A,68,YTSS,1A,ISM,3000000,22000000,none
A,68,YTSS,1A,EE36,0,22000000,none
A,68,YTSS,1B,Y4I,1000000,1000000,none
A,68,YTSS,1B,SE45,0,1000000,none
A,68,YTSS,1B,E37,0,1000000,none
A,68,YTSS,1B,ISM,0,1000000,none
A,68,YTSS,1B,EE36,0,1000000,none
A,68,YTSS,1C,Y4I,0,0,none
A,68,YTSS,1C,SE45,0,0,none
A,68,YTSS,1C,E37,0,0,none
A,68,YTSS,1C,ISM,0,0,none
A,68,YTSS,1C,EE36,0,0,none
A,68,YTSS,2A,Y4I,0,2000000,none
A,68,YTSS,2A,SE45,1000000,2000000,none
A,68,YTSS,2A,E37,0,2000000,none
A,68,YTSS,2A,ISM,0,2000000,none
A,68,YTSS,2A,EE36,1000000,2000000,none
A,68,YTSS,2B,Y4I,1000000,1000000,none
A,68,YTSS,2B,SE45,0,1000000,none
A,68,YTSS,2B,E37,0,1000000,none
A,68,YTSS,2B,ISM,0,1000000,none
A,68,YTSS,2B,EE36,0,1000000,none
A,68,YTSS,2C,Y4I,2000000,2000000,none
A,68,YTSS,2C,SE45,0,2000000,none
A,68,YTSS,2C,E37,0,2000000,none
A,68,YTSS,2C,ISM,0,2000000,none
A,68,YTSS,2C,EE36,0,2000000,none
A,68,YTSS,3A,Y4I,0,1000000,none
A,68,YTSS,3A,SE45,0,1000000,none
A,68,YTSS,3A,E37,0,1000000,none
A,68,YTSS,3A,ISM,0,1000000,none
A,68,YTSS,3A,EE36,1000000,1000000,none
A,68,YTSS,3B,Y4I,2000000,3000000,none
A,68,YTSS,3B,SE45,0,3000000,none
A,68,YTSS,3B,E37,0,3000000,none
A,68,YTSS,3B,ISM,0,3000000,none
A,68,YTSS,3B,EE36,1000000,3000000,none
A,68,YTSS,3C,Y4I,1000000,1000000,none
A,68,YTSS,3C,SE45,0,1000000,none
A,68,YTSS,3C,E37,0,1000000,none
A,68,YTSS,3C,ISM,0,1000000,none
A,68,YTSS,3C,EE36,0,1000000,none
B,68,YTSS,1A,Y4I,0,2000000,none
B,68,YTSS,1A,SE45,1000000,2000000,none
B,68,YTSS,1A,E37,0,2000000,none
B,68,YTSS,1A,ISM,0,2000000,none
B,68,YTSS,1A,EE36,1000000,2000000,none
B,68,YTSS,1B,Y4I,2000000,2000000,none
B,68,YTSS,1B,SE45,0,2000000,none
B,68,YTSS,1B,E37,0,2000000,none
B,68,YTSS,1B,ISM,0,2000000,none
B,68,YTSS,1B,EE36,0,2000000,none
B,68,YTSS,1C,Y4I,0,0,none
B,68,YTSS,1C,SE45,0,0,none
B,68,YTSS,1C,E37,0,0,none
B,68,YTSS,1C,ISM,0,0,none
B,68,YTSS,1C,EE36,0,0,none
B,68,YTSS,2A,Y4I,1000000,1000000,none
B,68,YTSS,2A,SE45,0,1000000,none
B,68,YTSS,2A,E37,0,1000000,none
B,68,YTSS,2A,ISM,0,1000000,none
B,68,YTSS,2A,EE36,0,1000000,none
B,68,YTSS,2B,Y4I,2000000,2000000,none
B,68,YTSS,2B,SE45,0,2000000,none
B,68,YTSS,2B,E37,0,2000000,none
B,68,YTSS,2B,ISM,0,2000000,none
B,68,YTSS,2B,EE36,0,2000000,none
B,68,YTSS,2C,Y4I,0,0,none
B,68,YTSS,2C,SE45,0,0,none
B,68,YTSS,2C,E37,0,0,none
B,68,YTSS,2C,ISM,0,0,none
B,68,YTSS,2C,EE36,0,0,none
B,68,YTSS,3A,Y4I,4000000,4000000,none
B,68,YTSS,3A,SE45,0,4000000,none
B,68,YTSS,3A,E37,0,4000000,none
B,68,YTSS,3A,ISM,0,4000000,none
B,68,YTSS,3A,EE36,0,4000000,none
B,68,YTSS,3B,Y4I,4000000,4000000,none
B,68,YTSS,3B,SE45,0,4000000,none
B,68,YTSS,3B,E37,0,4000000,none
B,68,YTSS,3B,ISM,0,4000000,none
B,68,YTSS,3B,EE36,0,4000000,none
B,68,YTSS,3C,Y4I,3000000,3000000,none
B,68,YTSS,3C,SE45,0,3000000,none
B,68,YTSS,3C,E37,0,3000000,none
B,68,YTSS,3C,ISM,0,3000000,none
B,68,YTSS,3C,EE36,0,3000000,none
C,68,YTSS,1A,Y4I,4000000,5000000,none
C,68,YTSS,1A,SE45,0,5000000,none
C,68,YTSS,1A,E37,0,5000000,none
C,68,YTSS,1A,ISM,1000000,5000000,none
C,68,YTSS,1A,EE36,0,5000000,none
C,68,YTSS,1B,Y4I,2000000,6000000,none
C,68,YTSS,1B,SE45,0,6000000,none
C,68,YTSS,1B,E37,0,6000000,none
C,68,YTSS,1B,ISM,1000000,6000000,none
C,68,YTSS,1B,EE36,3000000,6000000,none
C,68,YTSS,1C,Y4I,7000000,7000000,none
C,68,YTSS,1C,SE45,0,7000000,none
C,68,YTSS,1C,E37,0,7000000,none
C,68,YTSS,1C,ISM,0,7000000,none
C,68,YTSS,1C,EE36,0,7000000,none
C,68,YTSS,2A,Y4I,8000000,8000000,none
C,68,YTSS,2A,SE45,0,8000000,none
C,68,YTSS,2A,E37,0,8000000,none
C,68,YTSS,2A,ISM,0,8000000,none
C,68,YTSS,2A,EE36,0,8000000,none
C,68,YTSS,2B,Y4I,13000000,13000000,none
C,68,YTSS,2B,SE45,0,13000000,none
C,68,YTSS,2B,E37,0,13000000,none
C,68,YTSS,2B,ISM,0,13000000,none
C,68,YTSS,2B,EE36,0,13000000,none
C,68,YTSS,2C,Y4I,8000000,8000000,none
C,68,YTSS,2C,SE45,0,8000000,none
C,68,YTSS,2C,E37,0,8000000,none
C,68,YTSS,2C,ISM,0,8000000,none
C,68,YTSS,2C,EE36,0,8000000,none
C,68,YTSS,3A,Y4I,13000000,14000000,none
C,68,YTSS,3A,SE45,1000000,14000000,none
C,68,YTSS,3A,E37,0,14000000,none
C,68,YTSS,3A,ISM,0,14000000,none
C,68,YTSS,3A,EE36,0,14000000,none
C,68,YTSS,3B,Y4I,4000000,4000000,none
C,68,YTSS,3B,SE45,0,4000000,none
C,68,YTSS,3B,E37,0,4000000,none
C,68,YTSS,3B,ISM,0,4000000,none
C,68,YTSS,3B,EE36,0,4000000,none
C,68,YTSS,3C,Y4I,10000000,11000000,none
C,68,YTSS,3C,SE45,0,11000000,none
C,68,YTSS,3C,E37,0,11000000,none
C,68,YTSS,3C,ISM,0,11000000,none
C,68,YTSS,3C,EE36,1000000,11000000,none
D,68,YTSS,1A,Y4I,3000000,7000000,none
D,68,YTSS,1A,SE45,1000000,7000000,none
D,68,YTSS,1A,E37,1000000,7000000,none
D,68,YTSS,1A,ISM,2000000,7000000,none
D,68,YTSS,1A,EE36,0,7000000,none
D,68,YTSS,1B,Y4I,0,0,none
D,68,YTSS,1B,SE45,0,0,none
D,68,YTSS,1B,E37,0,0,none
D,68,YTSS,1B,ISM,0,0,none
D,68,YTSS,1B,EE36,0,0,none
D,68,YTSS,1C,Y4I,1000000,2000000,none
D,68,YTSS,1C,SE45,0,2000000,none
D,68,YTSS,1C,E37,0,2000000,none
D,68,YTSS,1C,ISM,0,2000000,none
D,68,YTSS,1C,EE36,1000000,2000000,none
D,68,YTSS,2A,Y4I,7000000,8000000,none
D,68,YTSS,2A,SE45,1000000,8000000,none
D,68,YTSS,2A,E37,0,8000000,none
D,68,YTSS,2A,ISM,0,8000000,none
D,68,YTSS,2A,EE36,0,8000000,none
D,68,YTSS,2B,Y4I,3000000,5000000,none
D,68,YTSS,2B,SE45,1000000,5000000,none
D,68,YTSS,2B,E37,0,5000000,none
D,68,YTSS,2B,ISM,0,5000000,none
D,68,YTSS,2B,EE36,1000000,5000000,none
D,68,YTSS,2C,Y4I,5000000,8000000,none
D,68,YTSS,2C,SE45,0,8000000,none
D,68,YTSS,2C,E37,1000000,8000000,none
D,68,YTSS,2C,ISM,0,8000000,none
D,68,YTSS,2C,EE36,2000000,8000000,none
D,68,YTSS,3A,Y4I,8000000,12000000,none
D,68,YTSS,3A,SE45,0,12000000,none
D,68,YTSS,3A,E37,0,12000000,none
D,68,YTSS,3A,ISM,2000000,12000000,none
D,68,YTSS,3A,EE36,2000000,12000000,none
D,68,YTSS,3B,Y4I,13000000,15000000,none
D,68,YTSS,3B,SE45,0,15000000,none
D,68,YTSS,3B,E37,2000000,15000000,none
D,68,YTSS,3B,ISM,0,15000000,none
D,68,YTSS,3B,EE36,0,15000000,none
D,68,YTSS,3C,Y4I,7000000,13000000,none
D,68,YTSS,3C,SE45,2000000,13000000,none
D,68,YTSS,3C,E37,0,13000000,none
D,68,YTSS,3C,ISM,2000000,13000000,none
D,68,YTSS,3C,EE36,2000000,13000000,none
E,68,YTSS,1A,Y4I,1000000,1000000,none
E,68,YTSS,1A,SE45,0,1000000,none
E,68,YTSS,1A,E37,0,1000000,none
E,68,YTSS,1A,ISM,0,1000000,none
E,68,YTSS,1A,EE36,0,1000000,none
E,68,YTSS,1B,Y4I,2000000,2000000,none
E,68,YTSS,1B,SE45,0,2000000,none
E,68,YTSS,1B,E37,0,2000000,none
E,68,YTSS,1B,ISM,0,2000000,none
E,68,YTSS,1B,EE36,0,2000000,none
E,68,YTSS,1C,Y4I,1000000,4000000,none
E,68,YTSS,1C,SE45,0,4000000,none
E,68,YTSS,1C,E37,3000000,4000000,none
E,68,YTSS,1C,ISM,0,4000000,none
E,68,YTSS,1C,EE36,0,4000000,none
E,68,YTSS,2A,Y4I,3000000,3000000,none
E,68,YTSS,2A,SE45,0,3000000,none
E,68,YTSS,2A,E37,0,3000000,none
E,68,YTSS,2A,ISM,0,3000000,none
E,68,YTSS,2A,EE36,0,3000000,none
E,68,YTSS,2B,Y4I,5000000,5000000,none
E,68,YTSS,2B,SE45,0,5000000,none
E,68,YTSS,2B,E37,0,5000000,none
E,68,YTSS,2B,ISM,0,5000000,none
E,68,YTSS,2B,EE36,0,5000000,none
E,68,YTSS,2C,Y4I,3000000,4000000,none
E,68,YTSS,2C,SE45,0,4000000,none
E,68,YTSS,2C,E37,0,4000000,none
E,68,YTSS,2C,ISM,0,4000000,none
